Iteration,Walker_Type,Walker_ID,Step,x0,x1
8,rabbit,5,1,3,1
8,turtle,0,2,1,1
8,turtle,1,2,3,1
8,turtle,2,2,1,1
8,turtle,3,2,1,1
8,turtle,4,2,1,1
8,rabbit,5,2,3,3
8,turtle,0,3,0,1
8,turtle,1,3,3,2
8,turtle,2,3,2,1
8,turtle,3,3,2,1
8,turtle,4,3,0,1
8,rabbit,5,3,3,1
8,turtle,0,4,0,0
8,turtle,1,4,2,2
8,turtle,2,4,2,2
8,turtle,3,4,3,1
8,turtle,4,4,0,0
8,rabbit,5,4,3,3
8,turtle,0,5,0,1
8,turtle,1,5,1,2
8,turtle,2,5,1,2
8,turtle,3,5,2,1
8,turtle,4,5,0,1
8,rabbit,5,5,1,3
8,turtle,0,6,1,1
8,turtle,1,6,2,2
8,turtle,2,6,1,3
8,turtle,3,6,2,2
8,turtle,4,6,0,0
9,turtle,0,1,1,0
9,turtle,1,1,1,0
9,turtle,2,1,1,0
9,turtle,3,1,2,1
9,turtle,4,1,0,1
9,rabbit,5,1,3,1
9,turtle,0,2,0,0
9,turtle,1,2,2,0
9,turtle,2,2,1,1
9,turtle,3,2,2,2
9,turtle,4,2,0,2
9,rabbit,5,2,3,3
9,turtle,0,3,0,1
9,turtle,1,3,1,0
9,turtle,2,3,1,0
9,turtle,3,3,1,2
9,turtle,4,3,0,1
9,rabbit,5,3,1,3
9,turtle,0,4,1,1
9,turtle,1,4,2,0
9,turtle,2,4,1,1
9,turtle,3,4,2,2
9,turtle,4,4,0,2
10,turtle,0,1,2,1
10,turtle,1,1,0,1
10,turtle,2,1,2,1
10,turtle,3,1,0,1
10,turtle,4,1,1,0
10,rabbit,5,1,3,1
10,turtle,0,2,3,1
10,turtle,1,2,0,0
10,turtle,2,2,3,1
10,turtle,3,2,0,2
10,turtle,4,2,1,1
10,rabbit,5,2,1,1
10,turtle,0,3,3,2
10,turtle,1,3,1,0
10,turtle,2,3,2,1
10,turtle,3,3,0,1
10,turtle,4,3,0,1
10,rabbit,5,3,3,1
10,turtle,0,4,2,2
10,turtle,1,4,0,0
10,turtle,2,4,2,2
10,turtle,3,4,1,1
10,turtle,4,4,1,1
10,rabbit,5,4,3,3
10,turtle,0,5,2,3
10,turtle,1,5,1,0
10,turtle,2,5,2,3
10,turtle,3,5,1,0
10,turtle,4,5,1,0
10,rabbit,5,5,3,1
