Iteration,Walker_Type,Walker_ID,Step,x0,x1,x2
3,turtle,4,14,0,3,2
3,rabbit,5,14,2,3,0
3,turtle,0,15,1,2,1
3,turtle,1,15,1,3,2
3,turtle,2,15,0,3,1
3,turtle,3,15,1,3,2
3,turtle,4,15,0,3,3
3,rabbit,5,15,0,3,0
3,turtle,0,16,1,2,0
3,turtle,1,16,1,2,2
3,turtle,2,16,1,3,1
3,turtle,3,16,2,3,2
3,turtle,4,16,0,3,2
3,rabbit,5,16,2,3,0
3,turtle,0,17,2,2,0
3,turtle,1,17,1,1,2
3,turtle,2,17,1,3,2
3,turtle,3,17,2,3,3
3,turtle,4,17,0,3,1
3,rabbit,5,17,0,3,0
3,turtle,0,18,2,2,1
3,turtle,1,18,2,1,2
3,turtle,2,18,1,3,1
3,turtle,3,18,2,2,3
3,turtle,4,18,0,3,2
3,rabbit,5,18,0,3,2
3,turtle,0,19,1,2,1
4,turtle,0,1,1,3,0
4,turtle,1,1,1,3,0
4,turtle,2,1,1,3,0
4,turtle,3,1,2,3,1
4,turtle,4,1,1,3,0
4,rabbit,5,1,0,3,0
4,turtle,0,2,2,3,0
4,turtle,1,2,2,3,0
4,turtle,2,2,0,3,0
4,turtle,3,2,2,3,0
4,turtle,4,2,2,3,0
4,rabbit,5,2,0,3,2
4,turtle,0,3,1,3,0
4,turtle,1,3,1,3,0
4,turtle,2,3,1,3,0
4,turtle,3,3,1,3,0
4,turtle,4,3,1,3,0
4,rabbit,5,3,0,1,2
4,turtle,0,4,2,3,0
4,turtle,1,4,0,3,0
4,turtle,2,4,0,3,0
4,turtle,3,4,0,3,0
4,turtle,4,4,2,3,0
4,rabbit,5,4,0,3,2
4,turtle,0,5,1,3,0
4,turtle,1,5,1,3,0
4,turtle,2,5,0,3,1
4,turtle,3,5,0,3,1
4,turtle,4,5,1,3,0
4,rabbit,5,5,2,3,2
4,turtle,0,6,2,3,0
4,turtle,1,6,0,3,0
4,turtle,2,6,0,3,0
4,turtle,3,6,0,3,0
4,turtle,4,6,2,3,0
4,rabbit,5,6,0,3,2
4,turtle,0,7,2,3,1
4,turtle,1,7,0,3,1
4,turtle,2,7,0,3,1
4,turtle,3,7,0,3,1
4,turtle,4,7,2,3,1
4,rabbit,5,7,0,3,0
4,turtle,0,8,1,3,1
4,turtle,1,8,0,3,0
4,turtle,2,8,0,3,2
